Time,PM2.5(lpr),Distance(lpr),PM2.5(short),Distance(short)
0:00,4.52,1.45,5.68,1.18
1:00,3.24,1.41,3.85,1.18
2:00,3.48,1.42,4.09,1.18
3:00,3.08,1.47,4.22,1.18
4:00,3.99,1.22,4.04,1.18
5:00,1.43,1.71,2.35,1.18
6:00,2.36,1.64,4.04,1.18
7:00,2.74,1.42,3.35,1.18
8:00,2.54,1.22,2.65,1.18
9:00,2.22,1.22,2.28,1.18
10:00,1.28,1.49,1.86,1.18
11:00,1.69,1.42,2.58,1.18
12:00,1.88,1.42,2.42,1.18
13:00,2.27,1.26,2.55,1.18
14:00,2.3,1.7,4.03,1.18
15:00,3.01,1.46,3.64,1.18
16:00,2.61,1.43,3.47,1.18
17:00,2.9,1.2,3.85,1.18
18:00,3.54,1.21,3.67,1.18
19:00,3.44,1.41,4.2,1.18
20:00,2.77,1.44,3.4,1.18
21:00,3.18,1.26,4.03,1.18
22:00,2.97,1.46,3.8,1.18
23:00,2.74,1.44,3.3,1.18